A.J. Burnett
Ernie Camacho
Ernie Lombardi
Ernie Shore
Ernie White
Erskine Mayer
Erv Brame
Erv Palica
Ervin Santana
Esteban Loaiza
Evan Longoria
Ewell Blackwell
Felipe Alou
Felipe Lopez
Felix Hernandez
Felix Rodriguez
Ferdie Schupp
Fergie Jenkins
Fernando Rodney
Fernando Valenzuela
Ferris Fain
Fielder Jones
Firpo Marberry
Flint Rhem
Floyd Bannister
Floyd Youmans
Francisco Cordero
Francisco Liriano
Francisco Rodriguez
Frank Baker
Frank Baumann
Frank Bolling
Frank Chance
Frank Corridon
Frank Demaree
Frank DiPino
Frank Francisco
Frank Howard
Frank Isbell
Frank Kitson
Frank LaCorte
Frank Lary
Frank Malzone
Frank McCormick
Frank Miller
Frank Owen
Frank Pastore
Frank Robinson
Frank Schulte
Frank Smith
Frank Sullivan
Frank Tanana
Frank Thomas
Frank Viola
Frank White
Frank Williams
Frankie Crosetti
Frankie Frisch
Franklin Gutierrez
Fred Anderson
Fred Clarke
Fred Fussell
Fred Glade
Fred Hartman
Fred Heimach
Fred Hutchinson
Fred Luderus
Fred Lynn
Fred McGriff
Fred Merkle
Fred Newman
Fred Sanford
Fred Schulte
Fred Snodgrass
Fred Tenney
Fred Toney
Freddie Fitzsimmons
Freddie Freeman
Freddie Lindstrom
Freddy Garcia
Freddy Parent
Freddy Sanchez
Fritz Ostermueller
Fritz Peterson
Gabby Hartnett
Gabe White
Garland Braxton
Garret Anderson
Garrett Atkins
Garrett Richards
Garry Maddox
Garry Templeton
Gary Bell
Gary Carter
Gary Gaetti
Gary Lavelle
Gary Lucas
Gary Nolan
Gary Peters
Gary Pettis
Gary Sheffield
Gary Ward
Gavin Floyd
Gavvy Cravath
Gaylord Perry
Gee Walker
Gene Alley
Gene Bearden
Gene Conley
Gene Garber
Gene Moore
Gene Nelson
Gene Packard
Gene Tenace
Gene Woodling
Geoff Geary
Geoff Jenkins
Geoff Zahn
George Altman
George Bell
George Blaeholder
George Brett
George Brunet
George Burns
George Case
George Caster
George Cutshaw
George Davis
George Earnshaw
George Foster
George Frazier
George Gibson
George Grantham
George Harper
George Hendrick
George Kell
George Kelly
George McBride
George McConnell
George McQuillan
George McQuinn
George Mogridge
George Mullin
George Myatt
George Pipgras
George Scott
George Selkirk
George Sherrill
George Sisler
George Smith
George Stone
George Stovall
George Suggs
George Uhle
George Van Haltren
Gerardo Parra
Gerrit Cole
Gerry Staley
Giancarlo Stanton
Gil Heredia
Gil Hodges
Gil McDougald
Gil Meche
Ginger Beaumont
Gio Gonzalez
Giovanni Carrara
Glen Hobbie
Glen Perkins
Glendon Rusch
Glenn Beckert
Glenn Davis
Glenn Liebhardt
Glenn Wright
Goody Rosen
Goose Goslin
Gordon Rhodes
Gorman Thomas
Grady Hatton
Grady Sizemore
Graig Nettles
Granny Hamner
Grant Balfour
Grant Jackson
Greg Cadaret
Greg Gross
Greg Harris
Greg Hibbard
Greg Holland
Greg Luzinski
Greg Maddux
Greg McMichael
Greg Minton
Greg Swindell
Greg Vaughn
Gregg Jefferies
Gregg Olson
Guillermo Mota
Gus Bell
Gus Suhr
Gus Triandos
Gus Zernial
Guy Bush
Guy Morton
Hack Wilson
Hal Brown
Hal Carlson
Hal Chase
Hal Gregg
Hal McRae
Hal Newhouser
Hal Schumacher
Hal Trosky
Hal White
Ham Iburg
Hank Aaron
Hank Aguirre
Hank Bauer
Hank Blalock
Hank Borowy
Hank Edwards
Hank Greenberg
Hank Leiber
Hank Majeski
Hank Robinson
Hank Sauer
Hank Thompson
Hank Wyse
Hanley Ramirez
Hans Lobert
Happy Felsch
Harlond Clift
Harmon Killebrew
Harold Baines
Harold Reynolds
Harry Bay
Harry Brecheen
Harry Byrd
Harry Coveleski
Harry Danning
Harry Davis
Harry Feldman
Harry Gaspar
Harry Gumbert
Harry Harper
Harry Heilmann
Harry Hooper
Harry Howell
Harry Kelley
Harry Krause
Harry Lord
Harry Lumley
Harry Steinfeldt
Harry Walker
Harry Wolter
Harvey Haddix
Harvey Hendrick
Harvey Kuenn
Heath Bell
Heathcliff Slocumb
Hector Carrasco
Hector Rondon
Heinie Berger
Heinie Groh
Heinie Manush
Heinie Wagner
Heinie Zimmerman
Herb Pennock
Herb Score
Herman Long
Herman Pillette
Hi Bithorn
Hi Myers
Hideo Nomo
Hipolito Pichardo
Hippo Vaughn
Hiroki Kuroda
Hisanori Takahashi
Hisashi Iwakuma
Hobe Ferris
Hod Eller
Hod Lisenbee
Homer Bailey
Honus Wagner
Hooks Dauss
Hooks Wiltse
Hoot Evers
Howard Ehmke
Howard Johnson
Howie Camnitz
Howie Fox
Howie Kendrick
Howie Pollet
Howie Shanks
Hoyt Wilhelm
Hub Perdue
Hugh Bedient
Hugh Casey
Hugh Mulcahy
Hughie Critz
Hung-Chih Kuo
Hunter Pence
Huston Street
Hyun-Jin Ryu
Ian Desmond
Ian Kennedy
Ian Kinsler
Ichiro Suzuki
Ike Delock
Irish Meusel
Irv Young
Ismael Valdez
Ival Goodman
Ivan Rodriguez
Ivy Andrews
J. C. Gutierrez
J. C. Romero
J. D. Martinez
J. J. Putz
J. P. Howell
J.D. Drew
J.J. Hardy
Jack Armstrong
Jack Barry
Jack Billingham
Jack Chesbro
Jack Clark
Jack Coombs
Jack Fournier
Jack Harper
Jack Harshman
Jack Kralick
Jack Kramer
Jack McDowell
Jack Morris
Jack Pfiester
Jack Powell
Jack Quinn
Jack Russell
Jack Sanford
Jack Scott
Jack Smith
Jack Sutthoff
Jack Taylor
Jack Tobin
Jack Warhop
Jack Wilson
Jackie Brandt
Jackie Jensen
Jackie Robinson
Jacob deGrom
Jacoby Ellsbury
Jacque Jones
Jaime Garcia
Jaime Navarro
Jair Jurrjens
Jake Arrieta
Jake Beckley
Jake Daubert
Jake Diekman
Jake McGee
Jake Miller
Jake Peavy
Jake Stahl
Jake Weimer
Jakie May
James Shields
Jamie Easterly
Jamie Moyer
Jaret Wright
Jarrod Parker
Jarrod Washburn
Jason Bartlett
Jason Bay
Jason Christiansen
Jason Frasor
Jason Giambi
Jason Grilli
Jason Hammel
Jason Heyward
Jason Isringhausen
Jason Jennings
Jason Kendall
Jason Kipnis
Jason Motte
Jason Schmidt
Jason Thompson
Javier Vazquez
Jay Bell
Jay Bruce
Jay Howell
Jay Powell
Jay Witasick
Jayson Werth
Jeff Bagwell
Jeff Blauser
Jeff Brantley
Jeff Burroughs
Jeff Cirillo
Jeff Conine
Jeff Fassero
Jeff Francis
Jeff Gray
Jeff Heath
Jeff Kent
Jeff Montgomery
Jeff Nelson
Jeff Parrett
Jeff Pfeffer
Jeff Reardon
Jeff Robinson
Jeff Russell
Jeff Samardzija
Jeff Shaw
Jeff Tam
Jeff Tesreau
Jeff Weaver
Jeff Zimmerman
Jered Weaver
Jeremy Bonderman
Jeromy Burnitz
Jerry Dipoto
Jerry Don Gleaton
Jerry Garvin
Jerry Koosman
Jerry Priddy
Jerry Reed
Jerry Reuss
Jerry Walker
Jesse Barfield
Jesse Barnes
Jesse Burkett
Jesse Flores
Jesse Haines
Jesse Orosco
Jesse Petty
Jesse Tannehill
Jeurys Familia
Jhonny Peralta
Jhoulys Chacin
Jigger Statz
Jiggs Donahue
Jim Abbott
Jim Acker
Jim Archer
Jim Bagby
Jim Barr
Jim Beattie
Jim Bibby
Jim Bottomley
Jim Bouton
Jim Bunning
Jim Clancy
Jim Colborn
Jim Corsi
Jim Davenport
Jim Doyle
Jim Edmonds
Jim Fregosi
Jim Gentile
Jim Gilliam
Jim Gleeson
Jim Gott
Jim Hearn
Jim Hickman
Jim Johnson
Jim Kaat
Jim Landis
Jim Lefebvre
Jim Lonborg
Jim Maloney
Jim Mecir
Jim Merritt
Jim Nash
Jim Northrup
Jim O'Toole
Jim Owens
Jim Palmer
Jim Perry
Jim Piersall
Jim Ray Hart
Jim Rice
Jim Rooker
Jim Russell
Jim Scott
Jim Shaw
Jim Slaton
Jim Sundberg
Jim Thome
Jim Tobin
Jim Turner
Jim Viox
Jim Weaver
Jim Wilson
Jimmie Foxx
Jimmie Hall
Jimmy Barrett
Jimmy Brown
Jimmy Collins
Jimmy Dygert
Jimmy Dykes
Jimmy Esmond
Jimmy Johnston
Jimmy Key
Jimmy Ring
Jimmy Rollins
Jimmy Ryan
Jimmy Sheckard
Jimmy Slagle
Jimmy Williams
Jimmy Wynn
Jo-Jo Moore
Joakim Soria
Joaquin Andujar
Joaquin Benoit
Joba Chamberlain
Jody Davis
Joe Adcock
Joe Beckwith
Joe Benz
Joe Blanton
Joe Borowski
Joe Bowman
Joe Carter
Joe Coleman
Joe Cronin
Joe Cunningham
Joe DiMaggio
Joe Dobson
Joe Ferguson
Joe Foy
Joe Gibbon
Joe Gordon
Joe Harris
Joe Hatten
Joe Hauser
Joe Haynes
Joe Hesketh
Joe Horlen
Joe Judge
Joe Kelley
Joe Kuhel
Joe Lake
Joe Magrane
Joe Mauer
Joe McGinnity
Joe Medwick
Joe Morgan
Joe Nathan
Joe Niekro
Joe Nuxhall
Joe Oeschger
Joe Price
Joe Rudi
Joe Sambito
Joe Sewell
Joe Shaute
Joe Stripp
Joe Tinker
Joe Torre
Joe Vosmik
Joe Wood
Joel Hanrahan
Joel Pineiro
Joel Zumaya
Joey Jay
Joey McLaughlin
Joey Votto
Johan Santana
John Anderson
John Axford
John Burkett
John Butcher
John Candelaria
John Danks
John Denny
John Farrell
John Franco
John Habyan
John Kruk
John Lackey
John Mayberry
John McGraw
John Montefusco
John Olerud
John Patterson
John Rocker
John Romano
John Smiley
John Smoltz
John Smoltz (R)
John Smoltz (S)
John Stearns
John Stone
John Thomson
John Titus
John Tudor
John Valentin
John Wetteland
John Whitehead
Johnny Allen
Johnny Antonelli
Johnny Babich
Johnny Barrett
Johnny Bates
Johnny Beazley
Johnny Bench
Johnny Callison
Johnny Cueto
Johnny Evers
Johnny Frederick
Johnny Gorsica
Johnny Hopp
Johnny Humphries
Johnny Lanning
Johnny Lindell
Johnny Logan
Johnny Marcum
Johnny Mize
Johnny Morrison
Johnny Mostil
Johnny Niggeling
Johnny Pesky
Johnny Podres
Johnny Ray
Johnny Rigney
Johnny Rizzo
Johnny Sain
Johnny Schmitz
Johnny Temple
Johnny Vander Meer
Jon Lester
Jon Lieber
Jon Matlack
Jon Rauch
Jonathan Broxton
Jonathan Lucroy
Jonathan Papelbon
Jonny Venters
Jordan Walden
Jordan Zimmermann
Jorge Posada
Jose Abreu
Jose Altuve
Jose Arredondo
Jose Bautista
Jose Canseco
Jose Contreras
Jose Cruz
Jose DeLeon
Jose Fernandez
Jose Guzman
Jose Jimenez
Jose Lima
Jose Melendez
Jose Mesa
Jose Oquendo
Jose Quintana
Jose Reyes
Jose Rijo
Jose Rosado
Jose Santiago
Jose Valverde
Josh Beckett
Josh Donaldson
Josh Fields
Josh Hamilton
Josh Harrison
Josh Johnson
Josh Reddick
Josh Towers
Josias Manzanillo
Juan Berenguer
Juan Carlos Oviedo
Juan Gonzalez
Juan Guzman
Juan Marichal
Juan Pizarro
Juan Rincon
Julian Tavarez
Julio Franco
Julio Lugo
Julio Teheran
Jumbo Elliott
Justin Duchscherer
Justin Masterson
Justin Thompson
Justin Upton
Justin Verlander
Justin Wilson
Kaiser Wilhelm
Kal Daniels
Kameron Loe
Karl Drews
Kazuhiro Sasaki
Keith Foulke
Keith Hernandez
Kelly Downs
Kelly Gruber
Kelly Johnson
Kelly Wunsch
Kelvim Escobar
Kelvin Herrera
Ken Boyer
Ken Burkhart
Ken Caminiti
Ken Chase
Ken Dayley
Ken Forsch
Ken Giles
Ken Griffey
Ken Griffey Jr.
Ken Harrelson
Ken Henderson
Ken Hill
Ken Holtzman
Ken Howell
Ken Johnson
Ken Keltner
Ken Kravec
Ken McBride
Ken McMullen
Ken Raffensberger
Ken Ryan
Ken Singleton
Ken Williams
Kenley Jansen
Kenny Lofton
Kenny Rogers
Kent Hrbek
Kent Tekulve
Kerry Ligtenberg
Kerry Wood
Kerry Wood (R)
Kerry Wood (S)
Kevin Appier
Kevin Bass
Kevin Brown
Kevin Gregg
Kevin Gross
Kevin Kiermaier
Kevin McReynolds
Kevin Millwood
Kevin Mitchell
Kevin Rogers
Kevin Seitzer
Kevin Siegrist
Kevin Tapani
Kevin Youkilis
Kevin Young
Kid Elberfeld
Kid Nichols
Kiki Cuyler
Kiko Calero
Kip Selbach
Kirby Higbe
Kirby Puckett
Kirk Gibson
Kirk McCaskill
Kitty Bransfield
Koji Uehara
Kris Benson
Kris Bryant
Kyle Farnsworth
Kyle Hendricks
Kyle Lohse
Kyle Seager
Lance Berkman
Lance Johnson
Lance Lynn
Lance McCullers
Lance Parrish
Lance Richbourg
Larry Andersen
Larry Benton
Larry Casian
Larry Cheney
Larry Christenson
Larry Dierker
Larry Doby
Larry Doyle
Larry French
Larry Gardner
Larry Gura
Larry Hisle
Larry Jackson
Larry Jansen
Larry McWilliams
Larry Parrish
Larry Walker
Lary Sorensen
LaTroy Hawkins
Lave Cross
Lee Gardner
Lee Grissom
Lee Guetterman
Lee Magee
Lee May
Lee Mazzilli
Lee Meadows
Lee Smith
Lee Stange
Lee Tannehill
Lee Walls
Lefty Gomez
Lefty Grove
Lefty Leifield
Lefty Mills
Lefty O'Doul
Lefty Stewart
Lefty Tyler
Lefty Williams
Len Barker
Len Koenecke
Lenny Dykstra
Leo Cardenas
Leon Cadore
Les Bell
Les Fleming
Les Lancaster
Les Mann
Lew Burdette
Lew Fonseca
Liam Hendriks
Lindy McDaniel
Livan Hernandez
Lloyd Brown
Lloyd Moseby
Lloyd Waner
Lon Warneke
Lonnie Smith
Lonny Frey
Lorenzo Cain
Lou Boudreau
Lou Brissie
Lou Brock
Lou Fette
Lou Gehrig
Lou Klein
Lou Whitaker
Louis Drucke
Lu Blue
Luis Aparicio
Luis Ayala
Luis Castillo
Luis DeLeon
Luis Gonzalez
Luis Leal
Luis Olmo
Luis Sanchez
Luis Tiant
Luis Vizcaino
Luke Appling
Luke Gregerson
Luke Hamlin
Lyman Bostock
